17589	15611:0	8388:1	3865:2	5769:3	13246:4	1830:5	11660:6	6958:7	425:8	2318:9	
17521	13528:0	314:1	13518:2	2672:3	15442:4	11397:5	11029:6	13193:7	13531:8	15259:9	
17501	14416:0	2697:1	10100:2	5625:3	5:4	5:5	1226:6	4634:7	12257:8	6159:9	
17469	1042:0	2821:1	13528:2	1042:3	390:4	11221:5	1273:6	6322:7	14530:8	13683:9	
17413	6697:0	14354:1	12450:2	3253:3	4584:4	2560:5	11276:6	15075:7	14391:8	14533:9	
17372	6762:0	13269:1	1146:2	10742:3	3171:4	2966:5	7387:6	13207:7	4195:8	14344:9	
17354	12086:0	4117:1	2218:2	1177:3	53:4	6006:5	5049:6	10313:7	3165:8	10107:9	
17335	12326:0	10176:1	23:2	14538:3	3250:4	6272:5	7584:6	13164:7	5126:8	2530:9	
17317	14999:0	10794:1	2338:2	4189:3	12281:4	2338:5	5117:6	1189:7	7794:8	101:9	
17278	1843:0	2:1	4428:2	12048:3	14488:4	1211:5	3187:6	6468:7	5329:8	10731:9	
17238	12322:0	14480:1	4167:2	10120:3	2306:4	14500:5	6261:6	3173:7	1189:8	23:9	
17183	3242:0	12021:1	14488:2	12342:3	7783:4	5078:5	2319:6	6701:7	10182:8	4157:9	
17141	12088:0	53:1	4168:2	11920:3	14429:4	6032:5	1177:6	12102:7	2267:8	14326:9	
17096	14399:0	1177:1	12105:2	11649:3	6016:4	14428:5	12105:6	4127:7	2250:8	41:9	
17028	14488:0	6016:1	10184:2	13:3	4296:4	3444:5	2218:6	14402:7	1175:8	13164:9	
17025	14429:0	14326:1	14308:2	13199:3	2267:4	11649:5	14404:6	6068:7	48:8	4167:9	
17020	14326:0	6119:1	1177:2	12105:3	48:4	2267:5	11649:6	14432:7	2267:8	4157:9	
17008	11089:0	4104:1	14428:2	1177:3	1307:4	12105:5	6068:6	33:7	3160:8	2672:9	
16962	2353:0	14308:1	4168:2	10206:3	36:4	12167:5	12241:6	12975:7	14435:8	6090:9	
16958	14350:0	1:1	14510:2	1174:3	1174:4	2218:5	12247:6	6097:7	56:8	3166:9	
16957	14428:0	4138:1	2252:2	4130:3	1177:4	1307:5	3744:6	6068:7	23:8	12105:9	
16913	13199:0	1177:1	12105:2	14325:3	4112:4	11649:5	6068:6	1313:7	2318:8	12:9	
16912	2229:0	14396:1	14356:2	12003:3	11649:4	6017:5	5264:6	14398:7	4142:8	12:9	
16909	6106:0	4167:1	11:2	11:3	2349:4	10262:5	5019:6	3173:7	12238:8	14603:9	
16871	6600:0	10047:1	13347:2	3918:3	15901:4	520:5	4625:6	2733:7	1429:8	2991:9	
16799	1030:0	13788:1	13861:2	13746:3	12981:4	1867:5	14501:6	15929:7	11682:8	13121:9	
16796	1177:0	26:1	14920:2	314:3	6145:4	10107:5	2218:6	11976:7	4131:8	5049:9	
16771	15573:0	4644:1	2311:2	334:3	390:4	4632:5	11020:6	6750:7	15573:8	13723:9	
16586	12442:0	4157:1	3203:2	101:3	13098:4	6736:5	1251:6	8769:7	2321:8	1670:9	
16493	215:0	13222:1	431:2	12426:3	4467:4	1307:5	2386:6	11365:7	6265:8	15263:9	
16469	6006:0	11925:1	14325:2	11299:3	11299:4	2233:5	5016:6	1177:7	4131:8	16:9	
16452	11166:0	6482:1	14735:2	12655:3	156:4	2733:5	12467:6	5426:7	7626:8	1289:9	
16432	5574:0	14931:1	10673:2	15058:3	4501:4	12385:5	6581:6	12100:7	2439:8	211:9	
16412	1177:0	11920:1	14461:2	11973:3	1819:4	4167:5	2252:6	21:7	10930:8	6016:9	
16390	11918:0	1177:1	3192:2	11920:3	10930:4	101:5	2252:6	4127:7	14326:8	6016:9	
16383	2252:0	11920:1	1177:2	4167:3	12089:4	14428:5	1823:6	48:7	6016:8	3154:9	
16374	3526:0	11111:1	6125:2	4202:3	315:4	12975:5	12268:6	14888:7	13121:8	13409:9	
16362	12089:0	6016:1	4160:2	10313:3	36:4	2250:5	5016:6	11921:7	14325:8	14325:9	
16355	1457:0	10182:1	14561:2	3250:3	7919:4	2607:5	12454:6	4207:7	6613:8	101:9	
16353	7919:0	10182:1	2607:2	1457:3	12350:4	14559:5	4206:6	12462:7	6613:8	101:9	
16285	12975:0	2252:1	1177:2	3173:3	4168:4	14466:5	4167:6	1177:7	6247:8	53:9	
16262	12025:0	15437:1	6125:2	12078:3	4112:4	50:5	3020:6	10815:7	1429:8	10063:9	
