17521	2733:10	12021:7	13531:5	12975:0	13513:6	13341:2	12326:1	12462:4	13649:8	13620:3	
17501	2672:0	4625:1	315:2	333:3	14325:4	13581:5	2733:6	13409:7	6159:8	196:9	
17469	309:15	12242:6	12326:2	14500:4	13246:7	2733:18	14435:3	13341:5	10296:1	12975:0	
17413	2672:0	2733:1	11103:2	15305:3	15036:4	14354:5	15075:6	15128:7	13494:8	13413:9	
17372	101:0	14501:1	178:2	14488:3	13164:4	10184:5	14405:6	10187:7	10209:8	14323:9	
17354	14325:0	101:1	14326:2	48:3	1:4	14416:5	178:6	13306:7	6323:8	14501:9	
17335	10296:0	12975:1	14501:2	13004:3	12242:4	12462:5	14500:6	14521:7	13341:8	2733:9	
17317	6261:25	14501:0	2306:3	2267:8	12975:2	101:1	14350:7	4168:5	14488:6	14466:4	
17278	12442:2	11649:12	2213:21	12467:7	12468:6	101:0	13004:1	14501:3	12462:4	13121:5	
17238	10296:6	101:0	12242:4	4168:7	14500:8	14466:2	14521:3	14503:5	14488:1	6267:11	
17183	14435:5	14436:1	4157:2	2267:6	12462:8	12975:0	11986:4	3173:14	13121:7	12242:3	
17141	6068:9	12105:2	11984:5	3173:17	14436:6	14428:1	12975:0	2267:3	2227:4	4157:7	
17096	2252:7	14326:0	6068:8	11920:3	14325:5	4137:15	13199:1	11649:4	23:16	12105:2	
17028	48:1	37:5	12516:2	14325:0	1:6	2218:15	14416:8	6017:4	14326:3	23:7	
17025	14429:6	14428:4	14435:5	14326:2	48:18	11984:14	2267:0	4157:7	2252:1	14325:3	
17020	1177:14	53:7	13199:2	6119:6	14428:4	14326:1	6068:5	12105:0	2252:8	11920:3	
17008	14326:0	13199:1	14350:2	12516:3	12918:4	11920:5	2252:6	14325:7	23:8	11649:9	
16962	2267:1	4168:6	36:18	14436:2	12975:0	3173:17	11984:5	14435:4	14466:7	4157:3	
16958	11649:6	14326:1	6068:7	14325:5	2672:8	11920:2	13199:3	4137:19	14428:4	12105:0	
16957	11649:4	11920:2	14325:7	48:9	14350:6	12516:5	13199:1	3744:14	14326:0	2252:3	
16913	13199:0	11920:1	12105:2	14325:3	11649:4	14428:5	2252:6	6016:7	6068:8	48:9	
16912	6017:14	4137:19	14326:1	2375:15	23:6	11649:16	13199:2	12033:7	11920:4	48:3	
16909	14323:7	14398:4	14326:0	23:5	12516:1	2252:2	48:8	14325:6	11649:11	14350:3	
16871	14259:6	14561:4	14262:2	4584:5	12467:7	1428:14	101:1	2991:3	6323:24	13164:0	
16799	12093:3	12326:1	12975:0	12462:4	13649:6	3165:9	14398:21	13620:2	11649:13	12504:5	
