1 23:0.0125 626:0.0125 641:0.0125 608:0.0125 611:0.0125 590:0.0125 606:0.0125 519:0.0125 535:0.0125 479:0.0125
2 13:0.0125 67:0.0125 187:0.0125 641:0.0125 659:0.0125 614:0.0125 626:0.0125 558:0.0125 559:0.0125 545:0.0125
3 13:0.0125 659:0.0125 663:0.0125 614:0.0125 626:0.0125 608:0.0125 611:0.0125 545:0.0125 552:0.0125 519:0.0125
4 13:0.0125 535:0.0125 545:0.0125 479:0.0125 502:0.0125 425:0.0125 468:0.0125 362:0.0125 370:0.0125 319:0.0125
5 13:0.0125 659:0.0125 663:0.0125 614:0.0125 626:0.0125 608:0.0125 611:0.0125 545:0.0125 552:0.0125 519:0.0125
6 13:0.0125 25:0.0125 18:0.0125 67:0.0125 187:0.0125 659:0.0125 663:0.0125 590:0.0125 606:0.0125 559:0.0125
7 13:0.0125 659:0.0125 663:0.0125 614:0.0125 626:0.0125 608:0.0125 611:0.0125 545:0.0125 552:0.0125 519:0.0125
8 13:0.0125 67:0.0125 187:0.0125 641:0.0125 659:0.0125 614:0.0125 626:0.0125 559:0.0125 585:0.0125 552:0.0125
9 13:0.0125 663:0.0125 67:0.0125 626:0.0125 641:0.0125 611:0.0125 614:0.0125 552:0.0125 558:0.0125 535:0.0125
10 13:0.0125 519:0.0125 535:0.0125 468:0.0125 479:0.0125 414:0.0125 425:0.0125 337:0.0125 362:0.0125 197:0.0125
11 1173:0.025 1234:0.025 1235:0.025 1228:0.025 1254:0.025 1286:0.025 1295:0.025 1204:0.025 1206:0.025 1299:0.025
12 13:0.0125 11928:0.0125 12000:0.0125 11972:0.0125 11973:0.0125 12075:0.0125 11960:0.0125 12064:0.0125 12063:0.0125 12062:0.0125
13 13:0.0125 659:0.0125 663:0.0125 614:0.0125 626:0.0125 608:0.0125 611:0.0125 545:0.0125 552:0.0125 519:0.0125
14 13:0.0125 25:0.0125 18:0.0125 67:0.0125 187:0.0125 659:0.0125 663:0.0125 590:0.0125 606:0.0125 559:0.0125
16 13:0.0125 663:0.0125 67:0.0125 626:0.0125 641:0.0125 611:0.0125 614:0.0125 552:0.0125 558:0.0125 535:0.0125
17 13:0.0125 663:0.0125 67:0.0125 626:0.0125 641:0.0125 611:0.0125 614:0.0125 552:0.0125 558:0.0125 535:0.0125
18 13:0.0125 663:0.0125 67:0.0125 626:0.0125 641:0.0125 611:0.0125 614:0.0125 552:0.0125 558:0.0125 535:0.0125
